"Espacenet";"";"";"";"";"";"";"";"";
"Recherche de brevets";"";"";"";"";"";"";"";"";
"1 résultat trouvé pour plastic recycling AND traceability";"";"";"";"";"";"";"";"";
"Résultats affichés : 1 à 500";"";"";"";"";"";"";"";"";
"Langue de la requête: en / de / fr";"";"";"";"";"";"";"";"";
"Trier par: Pertinence";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"No";"Titre";"Inventeurs";"Demandeurs";"Numéro de publication";"Priorité la plus ancienne";"CIB";"CPC";"Date de publication";"Publication la plus ancienne";"Numéro de famille";
"134";"Energy consumption evaluation method based on life cycle of plastic packaging material";"WANG XINHUA 
HE SHUFEN";"GUANGDONG SHUNDE BAOSU PACKAGING CO LTD";"CN121189929A";"2025-09-30";"G06F18/213 
G06F18/22 
G06F18/26 
G06Q10/0639 
G06Q30/0201 
G06Q50/26";"";"2025-12-23";"2025-12-23";"098087288";
"135";"Four-in-one comprehensive rice paddy field ecological planting mode";"CUI YONGJUN 
CUI XIANGYU";"HARBIN FUWANMIN AGRICULTURAL TECH CO LTD";"CN108605737A 
CN108605737B";"2017-06-07";"A01G22/22";"";"2018-10-02 
2020-11-24";"2018-10-02";"063658764";
"136";"Waste plastic regeneration system";"FENG ZHIPING";"GUANGZHOU ZHISHUN TECH CO LTD";"CN209395085U";"2018-08-23";"B29B17/00 
B29B17/04 
B29B9/00 
B65B65/00";"Y02W30/62 (EP)";"2019-09-17";"2019-09-17";"067876304";
"137";"Express logistics co-distribution special box based on traceability technology and express logistics method";"GONG GUANGFU 
YUAN KAI 
PEI JUNCHAO 
SONG BING 
ZHANG SHOUBIAO 
LI YANHUI 
WANG JIWEI 
FAN JUN 
CHEN PENG";"ANHUI YUYU EXPRESS INTELLIGENT SCIENCE AND TECH LIMITED COMPANY 
POSTAL INDUSTRY SAFETY CENTER OF NAT POST BUREAU 
CONFIRMED INFORMATION STOCK LTD COMPANY 
UNICOM DIGITAL SCIENCE AND TECH LIMITED COMPANY 
ZHONGCAO BLENDING SCIENCE AND TECH BEIJING LIMITED COMPANY";"CN114684490A 
CN114684490B";"2022-03-29";"G06Q10/08 
B65D55/02 
C09J7/29 
G06K19/06 
G06Q10/0833";"B65D55/02 (CN) 
C09J7/29 (CN) 
G06K19/06037 (CN) 
G06Q10/0833 (CN) 
C09J2301/122 (CN) 
C09J2301/16 (CN) 
Y02W30/80 (EP)";"2022-07-01 
2023-05-09";"2022-07-01";"082141575";
"138";"Tracing and early warning method and control system for oral medical instrument";"ZHU YUANYUAN 
LI HANG 
JIE JIALE";"SHIPU INFORMATION TECH SHANGHAI CO LTD";"CN118609777A";"2024-06-05";"G06K17/00 
G06Q10/087 
G16H40/20";"G06K17/0022 (CN) 
G06Q10/087 (CN) 
G16H40/20 (CN)";"2024-09-06";"2024-09-06";"092560482";
"139";"Disposable anti-fake package material box bag and installing method thereof";"YANG LI 
LIU XING";"YANG LI 
LIU XING";"CN108820501A 
CN108820501B";"2018-08-02";"A47J31/00 
B65D25/22 
B65D51/24 
B65D55/02";"A47J31/00 (CN) 
B65D25/22 (CN) 
B65D51/245 (CN) 
B65D55/024 (CN) 
Y02W30/80 (EP)";"2018-11-16 
2024-06-28";"2018-11-16";"064152552";
"140";"Waste lithium battery pack recovery residual value evaluation system";"LAI WENFENG 
CAI XINGMING 
YAN RUGUO 
HUANG SHAOLONG 
ZHOU ZHEN";"JIANGXI MIRACLE GOLDEN TIGER COBALT CO LTD";"CN120297962A";"2025-06-11";"G06Q10/30 
G06Q30/0201 
H01M10/0525 
H01M10/54";"G06Q10/30 (CN) 
G06Q30/0206 (CN) 
H01M10/0525 (CN) 
H01M10/54 (CN) 
Y02W30/84 (EP)";"2025-07-11";"2025-07-11";"096278482";
"141";"Establishment method of intelligent logistics system for conveying auxiliary materials for tobacco production";"MA XIAOWEI 
LIU SONG 
MA WENHAI 
LI XINGCHUN 
ZHAO JIANYONG 
DONG RUI 
WANG DACHUAN";"HONGTA TOBACCO GROUP CO LTD";"CN118062522A 
CN118062522B";"2023-12-25";"B65G1/137 
B65G35/00 
B65G37/00 
B65G43/00 
B65G43/08 
G06Q10/0631 
G06Q10/083 
G06Q10/0835 
G06Q50/04";"B65G1/1373 (CN) 
B65G35/00 (CN) 
B65G37/00 (CN) 
B65G43/00 (CN) 
B65G43/08 (CN) 
G06Q10/06313 (CN) 
G06Q10/083 (CN) 
G06Q10/08355 (CN) 
G06Q50/04 (CN)";"2024-05-24 
2026-02-06";"2024-05-24";"091102957";
"142";"INTELLIGENT RECYCLING SYSTEM WITH AUTOMATED MATERIAL PROCESSING AND REWARD DISTRIBUTION";"KAVIANI BEN [US]";"KAVIANI BEN [US]";"US20260148203A1";"2024-11-23";"G06F21/40 
G06Q10/047 
G06Q10/087 
G06Q10/30 
H04L9/00";"G06F21/40 (EP,US) 
G06Q10/047 (EP,US) 
G06Q10/087 (EP,US) 
G06Q10/30 (EP,US) 
G06Q30/018 (EP) 
G06Q30/0208 (EP) 
H04L9/50 (EP,US) 
Y02W90/00 (EP)";"2026-05-28";"2026-05-28";"099885190";
"143";"Intelligent recyclable material recycling box based on spectrum recognition";"CUI YUNTIAN";"CUI YUNTIAN";"CN110980040A";"2019-11-01";"B65F1/00 
B65F1/14";"B65F1/0033 (CN) 
B65F1/1405 (CN) 
B65F2210/12 (CN) 
B65F2210/138 (CN) 
B65F2210/162 (CN)";"2020-04-10";"2020-04-10";"070082860";
"144";"Carbon index tracing method and system";"LIAN XIRUI";"SICHUAN LYUDOUYA INFORMATION TECH CO LTD";"CN117575635A 
CN117575635B";"2024-01-16";"G06F18/241 
G06N5/02 
G06Q30/018 
G06Q50/26";"G06F18/241 (CN) 
G06N5/02 (CN) 
G06Q30/018 (CN) 
G06Q50/26 (CN)";"2024-02-20 
2024-03-29";"2024-02-20";"089862871";
"145";"Efficient method applied to garbage classification";"HU ZHUXIN 
HE TAO 
LI MEIQIN 
JIN XINYUAN";"UNIV WENZHOU OUJIANG COLLEGE";"CN112907022A";"2021-01-13";"G06F16/955 
G06K7/14 
G06Q10/00 
G06Q10/06 
G06Q10/08 
G06Q30/02 
G06Q50/26";"G06Q10/0631 (CN) 
G06Q10/0832 (CN) 
G06Q10/30 (CN) 
G06Q30/0207 (CN) 
G06Q50/26 (CN) 
G06F16/9554 (CN) 
G06K7/1417 (CN) 
Y02W90/00 (EP)";"2021-06-04";"2021-06-04";"076112614";
"146";"Ternary power battery recovery carbon emission reduction benefit distribution method and device";"GAO FENG 
DU SHIWEI 
SUN BOXUE 
LIU YU 
GONG XIANZHENG 
LI XIAOQING 
CHEN WENJUAN 
ZHENG YAN 
NIE ZUOREN";"UNIV BEIJING TECHNOLOGY";"CN116664004A 
CN116664004B";"2023-06-20";"G06Q10/0639 
G06Q30/018 
G06Q50/26";"G06Q10/06393 (CN) 
G06Q30/018 (CN) 
G06Q50/26 (CN)";"2023-08-29 
2024-05-03";"2023-08-29";"087715149";
"147";"Package full life cycle tracing system based on block chain and Internet of Things";"ZHU SHENGGAN";"GUTE LAIFU INTELLIGENT TECH SHENZHEN CO LTD";"CN120634586A";"2025-06-10";"G06F16/27 
G06F21/60 
G06F21/64 
G06K17/00 
G06Q30/018 
G06Q50/26";"G06F16/27 (CN) 
G06F21/602 (CN) 
G06F21/64 (CN) 
G06K17/0022 (CN) 
G06Q30/018 (CN) 
G06Q50/26 (CN)";"2025-09-12";"2025-09-12";"096970900";
"148";"Meat product supply chain system of traceing back based on RFID, QRCode, NFC";"CHEN QINGYAO 
CHEN JINGYI 
LIN YUHONG 
QIU RONGZU";"UNIV FUJIAN AGRICULTURE & FORESTRY";"CN205644643U";"2016-03-25";"G06K17/00 
G06Q30/00";"";"2016-10-12";"2016-10-12";"057074444";
"149";"Injection molding and detection integrated non-standard automatic product processing method";"ZHANG QING 
ZHU JINLIANG 
DI KUNPENG 
YANG ZHIFEI";"SHANGHAI QINGYING AUTOMATION EQUIPMENT CO LTD";"CN120792074A";"2025-09-12";"B23K26/362 
B29C45/00 
B29C45/14 
B29C45/38 
B29C45/76 
B29C45/77 
B29C45/78 
B29C65/02";"B23K26/362 (CN) 
B29C45/0053 (CN) 
B29C45/14008 (CN) 
B29C45/382 (CN) 
B29C45/76 (CN) 
B29C45/77 (CN) 
B29C45/78 (CN) 
B29C65/02 (CN) 
B29C66/919 (CN) 
B29C66/929 (CN) 
B29C2045/0077 (CN) 
B29C2945/7629 (CN)";"2025-10-17";"2025-10-17";"097325100";
"150";"MATÉRIAU DE REVÊTEMENT SOLUBLE DANS L'EAU POUR MATÉRIAU COMPOSITE PAPIER-PLASTIQUE RECYCLABLE ET PROCÉDÉ DE PRÉPARATION ASSOCIÉ";"CUI YUEFEI [CN]";"UNIV SOUTH CHINA TECH [CN]";"WO2020052676A1";"2018-09-12";"D21H19/40 
D21H19/62";"D21H19/40 (CN) 
D21H19/44 (CN) 
D21H19/46 (CN) 
D21H19/54 (CN) 
D21H19/62 (CN) 
D21H21/14 (CN) 
D21H27/10 (CN)";"2020-03-19";"2019-03-22";"065745745";
"151";"SYSTÈME COMBINÉ AUTOMATIQUE POUR VÉRIFIER ET SUIVRE DES DÉCHETS SOLIDES À TRAVERS UN DISPOSITIF GÉOLOCALISÉ MÉCANIQUE-ÉLECTRONIQUE-TECHNOLOGIQUE";"BRANCACCIO RINO [IT]";"ECO CYRCLE SYSTEM S R L [IT]";"EP3246883A1";"2016-05-19";"G06Q20/14 
G06Q30/02 
G07F17/00 
G07F7/06";"G06Q20/145 (EP) 
G07F17/0035 (EP) 
G07F7/06 (EP)";"2017-11-22";"2017-11-22";"056511513";
"152";"PROCÉDÉ DE PRISE EN CHARGE DE LA GÉNÉRATION DE NOUVELLES CAPACITÉS DE RECYCLAGE OU AUGMENTATION DE CAPACITÉS DE RECYCLAGE EXISTANTES DANS UN RÉSEAU DÉCENTRALISÉ";"GRAF DR NICOLE [DE] 
BADRI TARA [US] 
ORTIZ RENE [US] 
VINAS RAFAEL SELVAGGIO [BR]";"BASF SE [DE]";"WO2024104906A1";"2022-11-15";"G06Q20/06 
G06Q20/38";"G06Q10/30 (EP) 
G06Q20/06 (EP) 
G06Q20/065 (EP) 
G06Q20/36 (EP) 
G06Q20/389 (EP) 
G06Q30/0279 (EP) 
Y02W90/00 (EP)";"2024-05-23";"2024-05-23";"088863376";
"153";"Retired lithium battery recycling method and system, computer equipment and storage medium";"SHEN WANGWANG 
LI YUANYI 
LIU HAILONG 
XU ZHENGYU 
YE YONGWANG";"CHINA CONSTRUCTION SCIENCE AND INDUSTRY GROUP SMART PARKING TECH CO LTD";"CN121726583A 
CN121726583B";"2026-02-25";"H01M10/54";"Y02W30/84 (EP)";"2026-03-24 
2026-05-29";"2026-03-24";"099115749";
"154";"Intelligent mask recycling method";"JIANG XINYU 
MA YIMING 
ZHANG CHUNMING";"ZHANG CHUNMING";"CN114589185A";"2021-10-22";"A61L11/00 
A61L2/10 
A61L2/18 
A61L2/24 
A61L2/26 
B09B3/00 
B09B3/35 
B09B101/65";"A61L11/00 (CN) 
A61L2/10 (CN) 
A61L2/18 (CN) 
A61L2/24 (CN) 
A61L2/26 (CN) 
A61L2202/14 (CN)";"2022-06-07";"2022-06-07";"081804212";
"155";"BATTERY RECYCLING METHOD";"PUDAS JARMO [FI] 
ERKKILA ARTO [FI] 
VILJAMAA JARMO [FI]";"PUDAS JARMO [FI] 
ERKKILA ARTO [FI] 
VILJAMAA JARMO [FI] 
AKKUSER LTD [FI]";"US2013313345A1 
US8979006B2";"2010-03-16";"H01M10/54 
H01M6/52 
B02B5/02 
B02C17/02";"H01M10/54 (EP,US) 
H01M6/52 (EP,US) 
Y02W30/84 (EP,US)";"2013-11-28 
2015-03-17";"2011-09-22";"044146838";
"156";"Full-automatic biochemical analyzer based on traceability system";"MA MINGQING";"MA MINGQING";"CN113911517A";"2021-09-03";"B01D36/02 
B65D25/10 
B65D25/24 
B65D81/07 
B65D85/68";"B01D36/02 (CN) 
B65D25/101 (CN) 
B65D25/107 (CN) 
B65D25/24 (CN) 
B65D81/07 (CN) 
B65D85/68 (CN) 
Y02W30/80 (EP)";"2022-01-11";"2022-01-11";"079233993";
"157";"Efficient degradation method of refractory plastic based on enzyme catalysis";"JIANG CHUNLIN 
HUANG YULEI 
FANG JIANI";"WURUI NEW MATERIAL TECH JIANGSU CO LTD";"CN121779783A";"2026-03-04";"C08G83/00 
C08J11/10 
C08L101/16 
C12N11/089";"C08G83/008 (CN) 
C08J11/105 (CN) 
C12N11/089 (CN) 
C08J2300/16 (CN) 
Y02W30/62 (EP)";"2026-04-03";"2026-04-03";"099236988";
"158";"Baijiu product carbon label management method and system";"YUAN QINGMAO 
WU YUEFEI 
LI PEIJIE";"SHANXI XINGHUACUN FEN JIU GROUP CO LTD";"CN121745714A";"2025-12-25";"G06Q10/0637 
G06Q10/10 
G06Q50/04 
G06Q50/26";"";"2026-03-27";"2026-03-27";"099147523";
"159";"Concrete waste recovery method and system based on freeze-thaw cycle cracking";"XIAO LIN 
HE YAWEN 
WANG HONGJUAN 
WEI XING";"UNIV SOUTHWEST JIAOTONG";"CN120901064A";"2025-09-24";"B03C1/30 
B09B3/00 
B09B3/35 
B09B5/00";"B03C1/30 (CN) 
B09B3/00 (CN) 
B09B3/35 (CN) 
B09B5/00 (CN) 
Y02W30/58 (EP)";"2025-11-07";"2025-11-07";"097555194";
"160";"Imitated metal deposition product";"LI HAIKUAN 
ZOU YAOBANG 
ZHOU LIQUAN";"YIBIN PLASTIC PACKAGING MATERIALS CO LTD SICHUAN";"CN203639540U";"2013-12-09";"C08J7/04 
C23C14/20 
C23C14/24 
G06K19/067";"";"2014-06-11";"2014-06-11";"050870801";
"161";"Community garbage throwing classification method";"WANG QUANLIU 
MIN XIANGYUN";"SHANGHAI ZITONG TECH CO LTD";"CN119059129A";"2024-09-05";"B65F1/00 
B65F1/14";"B65F1/0033 (CN) 
B65F1/14 (CN) 
B65F2210/138 (CN) 
B65F2210/184 (CN) 
Y02W30/10 (EP)";"2024-12-03";"2024-12-03";"093631355";
"162";"Building solid waste high-quality recycled aggregate regeneration method";"FENG DAKUO 
CHEN LU 
YE YUSHAN 
SHEN SHIHAO 
XIA JIYONG 
CHEN JING 
ZENG FENGJUAN";"CHINA CONSTR 7TH ENG DIVISION CORP LTD";"CN121017202A";"2025-10-23";"B09B3/00 
B09B3/30 
B09B3/35 
B09B3/40";"B09B3/00 (CN) 
B09B3/30 (CN) 
B09B3/35 (CN) 
B09B3/40 (CN)";"2025-11-28";"2025-11-28";"097772617";
"163";"Preparation process of hair dyeing earmuff capable of preventing hair dye from permeating";"WANG YONG 
ZHANG QING";"XIONGXIAN WANGDA PLASTIC PACKAGING PRODUCTS CO LTD";"CN121912613A";"2026-01-13";"A45D44/12 
B29B13/06 
B29B13/10 
B29B9/06 
B29B9/12 
B29C37/00 
B29C37/02 
B29C48/00 
B29C48/92 
B29C69/00 
B32B27/08 
B32B27/18 
B32B27/32 
B32B3/24 
B32B33/00";"A45D44/12 (CN) 
B29B13/065 (CN) 
B29B13/10 (CN) 
B29B9/06 (CN) 
B29B9/12 (CN) 
B29C37/00 (CN) 
B29C37/02 (CN) 
B29C48/0021 (CN) 
B29C48/0022 (CN) 
B29C48/92 (CN) 
B29C69/001 (CN) 
B32B27/065 (CN) 
B32B27/08 (CN) 
B32B27/18 (CN) 
B32B27/32 (CN) 
B32B3/266 (CN) 
B32B33/00 (CN) 
B29C2037/90 (CN) 
B32B2250/246 (CN) 
B32B2260/046 (CN) 
B32B2266/0221 (CN) 
B32B2307/724 (CN) 
B32B2307/7265 (CN)";"2026-04-24";"2026-04-24";"099493102";
"164";"PCBA intelligent warehouse management method";"DENG XIUPING 
LI YANCHAO 
YE QING 
XU YANPING 
JIAN LIQUN";"TIANJIN YATAI ELECTRONICS CO LTD";"CN121766891A";"2025-12-18";"G06Q10/087 
G06Q50/04 
G06V10/10 
G06V10/25";"";"2026-03-31";"2026-03-31";"099186677";
"165";"Intelligent weighing equipment of medical waste recovery cabinet and use method of intelligent weighing equipment";"LI PENG 
YANG GUANCHAO 
LAN TUANBAO 
LUO LIWEI";"SHENZHEN SUPER BOX INTELLIGENT TECH CO LTD";"CN120397528A";"2025-06-05";"B65F1/06 
B65F1/14 
B65F1/16";"B65F1/06 (CN) 
B65F1/14 (CN) 
B65F1/16 (CN) 
B65F2210/167 (CN) 
B65F2210/176 (CN) 
B65F2210/184 (CN)";"2025-08-01";"2025-08-01";"096508248";
"166";"Tracing method and system for agricultural mulching film";"ZHANG RUOYU 
XU GUANGDONG 
ZHAI ZHIQIANG 
WANG JING 
LYU JIDONG 
MIAO LUPENG 
WANG SIYUAN";"UNIV SHIHEZI";"CN118537029A";"2024-05-20";"G06K19/06 
G06K19/077 
G06Q30/018";"G06K19/06037 (CN) 
G06K19/07749 (CN) 
G06Q30/0185 (CN)";"2024-08-23";"2024-08-23";"092385659";
"167";"DISPOSITIF DE TRAITEMENT D'INFORMATIONS, SYSTÈME DE TRAITEMENT D'INFORMATIONS, PROCÉDÉ DE TRAITEMENT D'INFORMATIONS, ET PROGRAMME";"SUYAMA NARITA KOTOMI [JP] 
MIKI NANAMI [JP] 
SATOU KANETOMO [JP] 
SHINDO CHIKAKO [JP]";"SEKISUI CHEMICAL CO LTD [JP]";"EP4645190A1 
EP4645190A4";"2022-12-27";"G06Q10/30";"G06Q10/30 (EP) 
G06Q30/018 (EP) 
G06Q50/04 (EP) 
G06Q2220/00 (EP) 
Y02W30/62 (EP)";"2025-11-05 
2026-03-04";"2024-07-04";"091717918";
"168";"Cigarette production waste classification and automatic recovery system and method";"CHEN ENBO 
DONG GUANGJUN 
MA SHIXIN 
YU BAOYI 
LI XINGKE 
GUO KAI 
CHEN YUANCHAO";"HUBEI CHINA TOBACCO IND CO LTD";"CN111882083A";"2020-07-16";"G06Q10/00 
G06Q50/04";"G06Q10/30 (CN) 
G06Q50/04 (CN) 
Y02P90/30 (EP) 
Y02W90/00 (EP)";"2020-11-03";"2020-11-03";"073154944";
"169";"公路建设废料智能分拣与再生利用协同优化方法";"";"";"CN122114548A";"2026-04-22";"G05B19/05 
G06F18/22 
G06F18/2433 
G06F18/27 
G06F30/27 
G06N20/20 
G06N3/0464 
G06N3/098 
G06N5/01 
G06Q10/0631";"";"2026-05-29";"2026-05-29";"099910254";
"170";"Forming equipment and production line for corrugated pipe production based on plastic waste regeneration";"ZHANG YINGYING 
ZHANG ZHENCHAO";"QINGDAO FULEWEI MACHINERY TECH CO LTD";"CN121447847A";"2025-12-10";"B29C33/44 
B29C33/46 
B29C48/00 
B29C48/13 
B29C48/25 
B29C48/30";"B29C33/442 (CN) 
B29C33/46 (CN) 
B29C48/0022 (CN) 
B29C48/13 (CN) 
B29C48/25 (CN) 
B29C48/303 (CN)";"2026-02-03";"2026-02-03";"098584327";
"171";"Recycling component polyethylene";"DEBRUYNE BRUCE ROGER 
BETTING DARRYL 
SLEVINSKY DAVID EUGENE 
WU XIANCHUN 
ECKARDT MICHAEL PAUL 
LANGE DAVID MILTON 
EDENS AARON NATHANIEL";"EASTMAN CHEM CO";"CN115397902A";"2020-04-13";"C08F10/02 
C08F2/34 
C08F2/38 
C08J11/10 
C08J11/12 
C08L23/04";"C08F10/02 (EP,KR,US) 
C08F2/01 (KR) 
C08F2/34 (KR,US) 
C08F2/38 (KR) 
C08J11/10 (EP,KR) 
C08J11/12 (US) 
C08J11/24 (KR) 
C08J2323/06 (US) 
C08J2323/08 (EP,KR) 
Y02W30/62 (EP,KR)";"2022-11-25";"2021-10-21";"078085138";
"172";"METHOD FOR TRACEABILITY OF RAW MATERIALS, COMPONENTS, OBJECTS, AND PRODUCTS EXPOSED TO HARSH OPERATIONAL CONDITIONS IN INDUSTRY";"KAYALAR METE [TR] 
DEMIR SERRA [TR]";"COSMODOT INC [US]";"US12242922B2 
US2023306218A1";"2022-03-25";"G06K19/06 
G06K7/14";"G06K19/06037 (EP,US) 
G06K7/1417 (EP,US) 
G06K7/1443 (EP,US) 
G06K7/1473 (EP,US) 
G06K7/1482 (EP,US)";"2023-09-28 
2025-03-04";"2023-09-28";"088096023";
"173";"Efficient sterilization equipment for vacuum soft plastic packaged zongzi";"DONG FENGYU 
WU HAIJUN 
TANG ZHINUO";"CHENGDU WUFANGZHAI FOOD CO LTD";"CN120477235A";"2025-07-01";"A23B2/33 
A23B2/37 
A23B2/80 
A23L5/20 
A23L7/126 
F25D31/00";"";"2025-08-15";"2025-08-15";"096670078";
"174";"Regenerated polypropylene composite material as well as preparation method and application thereof";"JIANG WENYUAN 
WANG GANG 
SHAO ZHIJIE";"ORINKO ADVANCED PLASTICS CO LTD";"CN121182068A";"2025-11-25";"C08K3/34 
C08K5/00 
C08K9/10 
C08L23/0807 
C08L23/12";"";"2025-12-23";"2025-12-23";"098216182";
"175";"Concrete formulation and products manufactured therefrom";"JAMIE TODD [GB] 
THOMAS TODD [GB] 
EMILY KATE HALL [GB] 
GRACE DINAH FILDER [GB]";"MJT RECYCLING LTD [GB] 
DELTA INNOVATIONS LLC [AE]";"GB2602870A 
GB2602870B";"2020-11-04";"B29B9/00 
C04B16/04 
C04B18/04 
C04B18/18 
C04B20/00";"B29B9/00 (GB) 
C04B16/04 (GB) 
C04B18/04 (GB) 
C04B18/18 (GB) 
C04B18/20 (EP) 
C04B18/22 (EP) 
C04B20/0016 (GB) 
C04B28/04 (EP) 
C04B18/20, C04B20/0008, C04B20/0076, INV (EP)       
C04B28/04, C04B14/28, C04B18/20, C04B40/0608, INV (EP)      ";"2022-07-20 
2024-06-05";"2022-05-12";"073776531";
"176";"Circulating meal box recycling box";"LI XUDAN 
SONG QINGHAO 
ZHANG DI 
YANG JIAXING";"BAIBAOXIANG SHENYANG INTERNET OF THINGS TECH CO LTD";"CN222409557U";"2024-05-21";"B65F1/14 
B65F7/00";"Y02W30/10 (EP)";"2025-01-28";"2025-01-28";"094349330";
"177";"Circulating meal box recycling box";"LI XUDAN 
SONG QINGHAO 
ZHANG DI 
YANG JIAXING";"BAIBAOXIANG SHENYANG INTERNET OF THINGS TECH CO LTD";"CN118494992A";"2024-05-21";"B65F1/14 
B65F7/00";"B65F1/14 (CN) 
B65F7/00 (CN) 
B65F2210/172 (CN) 
Y02W30/10 (EP)";"2024-08-16";"2024-08-16";"092234014";
"178";"一种芯片封装装置及芯片封装方法";"";"";"CN121985766A";"2026-02-10";"H10P72/00 
H10P72/50 
H10W70/05 
H10W72/00 
H10W74/01 
H10W95/00";"";"2026-05-05";"2026-05-05";"099601273";
"179";"Cellulose ester compositions derived from recycled plastic content syngas";"SHEPPARD RONALD BUFORD 
TRAPP WILLIAM LEWIS";"EASTMAN CHEM CO";"CN113396164A 
CN113396164B";"2019-02-04";"C08B1/00 
C08B16/00 
C08B3/00 
C08B3/06 
C08J11/22";"C08B3/06 (EP,US) 
C08B3/16 (EP) 
C08B3/18 (EP,US) 
C08J11/12 (EP)";"2021-09-14 
2023-09-29";"2020-08-06";"071835960";
"180";"Intelligent butyronitrile glove packaging system with true and false identification and source tracing functions";"WU WEIZHEN 
FENG WENCHENG";"HUIZHOU ANBOCHEN TECH CO LTD";"CN121921035A";"2025-11-18";"B65B61/26 
G06Q10/0635 
G06Q10/0639 
G06Q30/018 
G06Q50/04";"B65B61/26 (CN) 
G06Q10/0635 (CN) 
G06Q10/06395 (CN) 
G06Q30/0185 (CN) 
G06Q50/04 (CN) 
Y02P90/30 (EP)";"2026-04-24";"2026-04-24";"099492493";
"181";"Safety tool destroying device, safety tool destroying method and controller";"WANG YIBO 
XIE XIN 
ZHU FANWEN 
MA XUEYUN 
DING ZHANHU 
MA DEJUN 
KANG SHUQIN 
HE BIN 
SHI PING'AN 
PENG XIN 
HE LIANTONG 
KOU YUHU 
XU ZHENGPENG 
HU SHENGLONG";"HAIBEI POWER SUPPLY COMPANY STATE GRID QINGHAI ELECTRIC POWER COMPANY 
STATE GRID QINGHAI ELECTRIC POWER CO";"CN120940351A";"2025-06-25";"B02C21/00 
B02C23/14 
B03C1/30 
B09B3/35 
B09B3/40 
B29B17/02 
B09B101/00";"B02C21/00 (CN) 
B02C23/14 (CN) 
B03C1/30 (CN) 
B09B3/35 (CN) 
B09B3/40 (CN) 
B29B17/02 (CN) 
B09B2101/00 (CN) 
B29B2017/0237 (CN)";"2025-11-14";"2025-11-14";"097613698";
"182";"Garbage monitoring and tracing system based on RFID technology";"WANG DONGSHENG 
LAI JIYUN 
ZHENG SHUHUI";"GUANGDONG BEIKONG DIGITAL INFORMATION CO LTD";"CN116306743A";"2023-03-15";"G06K17/00 
G06Q50/26";"G06K17/0029 (CN) 
G06Q50/26 (CN)";"2023-06-23";"2023-06-23";"086799075";
"183";"一种飞机拆解材料的差异化回收方法及系统";"";"";"CN121972482A";"2026-03-18";"B09B3/00 
B09B3/30 
B09B3/35 
B09B3/40 
B09B5/00 
B29B17/00 
B29B17/02 
B29B9/06 
C22B7/00";"";"2026-05-05";"2026-05-05";"099607437";
"184";"Lunch box recycling and checking device";"MA XINLONG";"SHENZHEN FAST FOOD INFORMATION TECH LIMITED COMPANY";"CN216211068U";"2021-09-28";"G06K17/00 
G06Q30/00";"";"2022-04-05";"2022-04-05";"080927615";
"185";"SANITARY BAG FOR MEDICAL USE";"ALFONSO INÈS [FR]";"CLEANIS [FR]";"US12594207B2 
US2025195308A1";"2023-12-15";"A61G9/00";"A61F5/44 (EP) 
A61F5/451 (EP) 
A61G9/00 (US) 
A61F2005/4402 (EP) 
A61F5/4407 (EP)";"2025-06-19 
2026-04-07";"2025-06-18";"090123847";
"186";"Self-adaptive high-speed coding method and system";"ZENG XIONGWEI 
XIONG JIAN 
YIN LIANG 
ZHANG ZHIGUO 
ZHONG JINGHUA 
HU HAIFEI 
GUO SONG 
ZHANG MING 
LIU ZHIYU";"BEIJING ISEDA ZHIHENG DATA TECH CO LTD 
SHANGHAI TONGJI ELECTRO MECHANIC TECH CO LTD";"CN115991055A 
CN115991055B";"2023-01-16";"B41J29/393 
B41J3/01 
B41J3/407 
B41J3/44 
B41M5/00 
B65B61/26 
G06K7/14";"Y02P90/30 (EP)";"2023-04-21 
2023-07-07";"2023-04-21";"085990039";
"187";"Bottle and can recycling device for garbage recycling bin";"ZAI LINGLIN";"SHANDONG TAIYUE ENVIRONMENTAL PROT EQUIPMENT CO LTD";"CN213110883U";"2020-07-06";"B65F1/10 
B65F1/14";"";"2021-05-04";"2021-05-04";"075675366";
"188";"Anti-tamper RFID electronic tag for beef cattle traceability";"YI LI 
FU XUEJIAN";"SICHUAN JIXINGHAI SOFTWARE TECH CO LTD";"CN213876815U";"2021-07-09";"G06K19/077";"";"2021-08-03";"2021-08-03";"077046249";
"189";"Digital traceability method and system for marine wastes";"DAI ZHENGBO 
QIN XILU 
QIAN XIAOYAN 
ZHENG YUNMING 
LIU ZHEN 
ZHENG YANXIA 
CHEN XIAO 
WANG XUFEN 
MAO YUANYUAN 
CHEN RONG 
LIU BINYAN";"ZHEJIANG HUANXIN ENV AUTOMATIC DETECTION CO LTD";"CN120071160A 
CN120071160B";"2025-04-28";"G06N3/04 
G06N3/08 
G06V10/24 
G06V10/44 
G06V10/764 
G06V10/774 
G06V10/82 
G06V20/10";"G06N3/04 (CN) 
G06N3/08 (CN) 
G06V10/24 (CN) 
G06V10/44 (CN) 
G06V10/764 (CN) 
G06V10/774 (CN) 
G06V10/82 (CN) 
G06V20/10 (CN)";"2025-05-30 
2025-08-01";"2025-05-30";"095790075";
