PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	C1	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	WC	UT	PM
P	HARSHIT; DAHIYA N; MEHLA A								Automated medical waste segregation system for            segregating and tracking biomedical waste into six            distinct chambers, comprises mechanism for collecting            medical waste materials in six different chambers, and            metal detection unit for utilizing metal detector to            identify and isolate medical metal waste																																		0							ENGINEERING ELECTRICAL ELECTRONIC; ELECTROCHEMISTRY; POLYMER SCIENCE; COMPUTER SCIENCE HARDWARE ARCHITECTURE; MEDICINE GENERAL INTERNAL	DIIDW:202545064C		
P	MA J; MA W								Herbal toothpaste composition for inhibiting oral            bacteria growth and inflammation, removing dirt in oral            cavity, relieving tooth sensitivity symptoms,            maintaining oral environment, and preventing occurrence            of oral diseases, comprises wheat straw, bran, rice            straw, coconuts and durian																																		0							BIOTECHNOLOGY APPLIED MICROBIOLOGY; PHARMACOLOGY PHARMACY; ENGINEERING ELECTRICAL ELECTRONIC; COMPUTER SCIENCE HARDWARE ARCHITECTURE; CHEMISTRY APPLIED	DIIDW:202542191C		
P	SOO C S								Laser marking device has control unit that            controls operation of laser head unit, transport unit            and gas supply unit, so that spraying direction of gas            sprayed through nozzle module is controlled to be            adjusted according to movement direction of head            unit																																		0							POLYMER SCIENCE; INSTRUMENTS INSTRUMENTATION; ENGINEERING MECHANICAL; ENGINEERING ELECTRICAL ELECTRONIC	DIIDW:202536973Y		
P	SOO C S								Laser marking device useful in field of product            production history management and traceability            management, comprises e.g laser head unit including            laser head that irradiates laser beam, and transfer            unit coupled to separate robot arm																																		0							INSTRUMENTS INSTRUMENTATION; POLYMER SCIENCE; ENGINEERING ELECTRICAL ELECTRONIC; ENGINEERING MECHANICAL	DIIDW:202536976F		
P	TANG H; GAO B; WANG L; FENG D; MIAO K; ZHANG Y; LI G								Method for detecting appearance of Polaroid            anti-glare film, involves placing light absorbing            substrate on operating table, adhesive and membrane to            be tested from bottom to top in turn, and ensuring            surface of membrane to be tested is flat																																		0							POLYMER SCIENCE; TELECOMMUNICATIONS; IMAGING SCIENCE PHOTOGRAPHIC TECHNOLOGY; ENGINEERING ELECTRICAL ELECTRONIC; INSTRUMENTS INSTRUMENTATION	DIIDW:2025406922		
P	DOUTERLOIGNE S								Concrete vault for forming floors on floor            surface, has reinforcement arranged in first part of            beam-shaped concrete element adjacent to first side and            second part of beam-shaped element, and side walls            provided with constant cross-section																																		0							ENGINEERING MECHANICAL; CONSTRUCTION BUILDING TECHNOLOGY; ENGINEERING MULTIDISCIPLINARY; INSTRUMENTS INSTRUMENTATION	DIIDW:2025542146		
P	ZHENG L								System for tracing source and intelligently            identifying factor in aging process of micro-plastic            comprises sample pre-processing unit comprising sample            conveying and primary screening device, particle            dispersing and electrostatic dust removing device																																		1							ENGINEERING ELECTRICAL ELECTRONIC; IMAGING SCIENCE PHOTOGRAPHIC TECHNOLOGY; POLYMER SCIENCE; INSTRUMENTS INSTRUMENTATION; COMPUTER SCIENCE HARDWARE ARCHITECTURE	DIIDW:2025399983		
P	CAO Y; DING L; ZHANG S; ZHANG G; WANG Q								Method for detecting deformation of plastic piece,            involves generating key influence factor and parameter            adjusting solution according to the key influence            parameter to adaptively adjust the process parameter            data																																		1							ELECTROCHEMISTRY; INSTRUMENTS INSTRUMENTATION; ENGINEERING ELECTRICAL ELECTRONIC; COMPUTER SCIENCE HARDWARE ARCHITECTURE; POLYMER SCIENCE	DIIDW:202539928G		
P									Integrated traceability system plastic pallet for            realizing efficient handling, transport, and storage of            fragile goods in logistics and supply chain industry,            has power management module configured to power            tracking module and environmental monitoring            module																																		0							COMPUTER SCIENCE HARDWARE ARCHITECTURE; INSTRUMENTS INSTRUMENTATION; ENGINEERING ELECTRICAL ELECTRONIC; ENGINEERING MECHANICAL; POLYMER SCIENCE; TELECOMMUNICATIONS	DIIDW:202535200H		
P	GOMAR MICO R								Traceability system for recyclable or reusable            products, has central control module that stores            information of each reading associated with product and            determines end of recycling cycle of product when            identifying device is detected by reading unit arranged            in recycling center																																		0							ENGINEERING ELECTRICAL ELECTRONIC; ENGINEERING MECHANICAL; COMPUTER SCIENCE HARDWARE ARCHITECTURE; INSTRUMENTS INSTRUMENTATION; AUTOMATION CONTROL SYSTEMS; TELECOMMUNICATIONS	DIIDW:202550548K		
P	GONCALVES J; BARBOSA G F; SHIKI S B; DE OLIVEIRA R O; TADEU ALDRIGUE J; SACILOTTE H								Bleeding device for manipulation by operator with            reader for tracking cut, has removable blade support            head that is interchangeable, keyboard allows interface            with external software and indicates multiple            parameters selected from among the correct periodicity            of cuts, and forecasts																																		0							ENGINEERING ELECTRICAL ELECTRONIC; AGRICULTURE MULTIDISCIPLINARY; COMPUTER SCIENCE HARDWARE ARCHITECTURE; INSTRUMENTS INSTRUMENTATION	DIIDW:2025668646		
P	DONG L; YANG K; HE M; XIE S; XIE T; ZHENG L; DUAN E								Method for constructing an integrated circuit            traceability database based on traceability code,            involves establishing integrated circuit package test            information traceability database by means of            multi-system four-bit traceability code to realize            accurate traceability of each integrated circuit																																		0							ELECTROCHEMISTRY; ENGINEERING ELECTRICAL ELECTRONIC; POLYMER SCIENCE; INSTRUMENTS INSTRUMENTATION; COMPUTER SCIENCE HARDWARE ARCHITECTURE	DIIDW:202532857U		
P	NIYAS A K; ARJUNA T S; ABHISHEK A U; ABHAY S								Smart waste bin system used for recycling            recyclable materials e.g. metal waste, has application            interface for including detection results from tiny            model, and system provided with application interface            that provides real time data on level of plastic waste            and weight of metal waste																																		0							ENGINEERING ELECTRICAL ELECTRONIC; ENGINEERING MECHANICAL; POLYMER SCIENCE; INSTRUMENTS INSTRUMENTATION; ELECTROCHEMISTRY; COMPUTER SCIENCE HARDWARE ARCHITECTURE	DIIDW:202516337J		
P	YU Z; CUI L; LU S; WANG F; SUN L; LIU Y; CHEN C; HU S								Prefabricated connecting beam triangular-shaped            inclined leg support local cast-in-place construction            method for building structure, involves detecting            quality of connecting component by performing            non-destructive detection operation																																		0							ENGINEERING MECHANICAL; CONSTRUCTION BUILDING TECHNOLOGY; POLYMER SCIENCE	DIIDW:2025149997		
P	ZHOU W; YAN Y; ZHAO Z; LIU X								Intelligent monitoring medicine transfer box for            medicine clinical test requirement, judging whether            monitored medicine transferring box is in pre-set            allowed opening electronic fence according to position            of current transferring box, if not, refusing box            opening request of field operator																																		0							INSTRUMENTS INSTRUMENTATION; AUTOMATION CONTROL SYSTEMS; PHARMACOLOGY PHARMACY; ENGINEERING MECHANICAL; ENGINEERING ELECTRICAL ELECTRONIC; TELECOMMUNICATIONS	DIIDW:202508926K		
P	ZHANG W; RONG H; WANG L								Trusted traceability method based on blockchain,            involves performing aging simulation according to            vehicle driving evasion route data to obtain vehicle            driving evasion route aging simulation data, obtaining            blockchain storage transportation distribution            intelligent scheduling data																																		0							COMPUTER SCIENCE HARDWARE ARCHITECTURE; ENGINEERING ELECTRICAL ELECTRONIC	DIIDW:202512163Q		
P	HARA S; NAKAO R; HAMAMOTO K								Letterpress printing plate precursor used in            letterpress printing for printing on paper and plastic            film for packaging, has relief-forming layer on            support, where multiple visual information marks on            surface of support opposite relief-forming layer																																		0							INSTRUMENTS INSTRUMENTATION; ENGINEERING ELECTRICAL ELECTRONIC; ENGINEERING MULTIDISCIPLINARY; IMAGING SCIENCE PHOTOGRAPHIC TECHNOLOGY; POLYMER SCIENCE; CHEMISTRY APPLIED	DIIDW:2024D3005U		
P	MIN X; WANG Q								Community garbage throwing and classifying method,            involves classifying household garbage, and obtaining            classified kitchen garbage to be thrown, recyclable            garbage, harmful garbage and other garbage																																		0							ENGINEERING MECHANICAL; INSTRUMENTS INSTRUMENTATION; POLYMER SCIENCE	DIIDW:2024D02245		
P	LI Y; DU H; JIANG D; DAI H; LI W; DU L; CAO H								Method for evaluating health of benzene-alkene            ratio control system based on class imbalance data            enhancement, involves characteristic quantity data            corresponding to multiple characteristic factors from            operation data, multiple characteristic factors are            obtained related to health condition																																		0							POLYMER SCIENCE; ENGINEERING ELECTRICAL ELECTRONIC; ELECTROCHEMISTRY; COMPUTER SCIENCE HARDWARE ARCHITECTURE	DIIDW:2024C87698		
P	RODRIGUEZ BLAYA E J; VIDAL PASTOR N A; MOLLA GIRONES J J								Continuous thickness measuring device for use in            machine for manufacture of continuously manufactured            laminar products, has arm whose other two ends are            connected to support integral with machine by unit of            respective vertically aligned rotation axes																																		0							COMPUTER SCIENCE HARDWARE ARCHITECTURE; INSTRUMENTS INSTRUMENTATION; ENGINEERING MECHANICAL; ENGINEERING ELECTRICAL ELECTRONIC	DIIDW:2024C91001		
P	HIGON MIRANDA J								Plastic tray for fresh and cooked products, has            base portion which includes radio frequency            identification (RFID), and second laminar portion that            is adhered onto perimeter wing of base portion above            portion of first laminar portion that covers portion of            surface of perimeter edge structure																																		0							ENGINEERING MECHANICAL; POLYMER SCIENCE; INSTRUMENTS INSTRUMENTATION	DIIDW:2024C9090G		
P	YAN H; QIU J								Insulating concrete composite pole for power            transmission apparatuses, has insulating concrete            composite pole that is set with unique code, through            power product quality traceability management method            based on big data, and quality is tracked according to            unique code																																		0							COMPUTER SCIENCE HARDWARE ARCHITECTURE; CONSTRUCTION BUILDING TECHNOLOGY; ENGINEERING ELECTRICAL ELECTRONIC; ENGINEERING MULTIDISCIPLINARY; ENGINEERING MECHANICAL; POLYMER SCIENCE; INSTRUMENTS INSTRUMENTATION	DIIDW:2024A9128E		
P	PU X; ZONG Y								System for detecting surface plastic spraying            quality of switch cabinet, has quality detection            feedback terminal for feeding back plastic spraying            qualified index and plastic spraying unqualified guide            factor to plastic spraying manager																																		1							POLYMER SCIENCE; INSTRUMENTS INSTRUMENTATION; ENGINEERING ELECTRICAL ELECTRONIC; IMAGING SCIENCE PHOTOGRAPHIC TECHNOLOGY	DIIDW:2024B13339		
P	ZHAO C; HE W; LI J								Method for packaging main control chip in plastic,            ceramic or metal packaging portion, involves thermally            curing packaging materials to provide good protection            and support after curing, and using cutting equipment            to cut packaged substrate into individual packaged chip            products																																		0							ELECTROCHEMISTRY; INSTRUMENTS INSTRUMENTATION; ENGINEERING ELECTRICAL ELECTRONIC; POLYMER SCIENCE	DIIDW:2024A2062E		
P	ZHANG L; TONG Y; LUO J; DONG Y; LIU B; WANG H; LI D; HU S								Automatic packaging method of steel bottle,            involves photographing mechanical arm to steel bottle            after packaging photographing and sampling, uploading            to storage system																																		0							POLYMER SCIENCE; INSTRUMENTS INSTRUMENTATION; ENGINEERING MECHANICAL	DIIDW:202476239B		
P	SUYAMA NARITA K; MIKI N; SATOU K; SHINDO C; SUYAMA N K								Information processing device of information            processing system used in recycling process of resin            material for manufacturing e.g. containers for            packaging film housing for appliances, associates resin            material and information related to parameter obtained            by measuring resin material with each other																																		0							COMPUTER SCIENCE HARDWARE ARCHITECTURE; ELECTROCHEMISTRY; POLYMER SCIENCE; ENGINEERING ELECTRICAL ELECTRONIC	DIIDW:2024693975		
P	XIE H; MIAO J; WU L; YU D								High value consumption material flow tracing            source bag for loading articles, has plastic inserting            block inserted with clamping groove, where inner wall            of front side of bag body is provided with NB            communication mechanism																																		0							ENGINEERING MECHANICAL; POLYMER SCIENCE; INSTRUMENTS INSTRUMENTATION; ENGINEERING ELECTRICAL ELECTRONIC; TELECOMMUNICATIONS	DIIDW:2024657575		
P	LAURENCIN M; POMPON D; DABOUSSI F; GALY O; THE D O T I; LAURENCE M; PAMPON D; DABUSHI P; OLIVIER G								Marking material for authentication and/or            traceability of material, comprises supplying marking            composition comprising molecular tags, and            incorporating marking composition into material, in            which marking composition comprises particles																																		0							BIOTECHNOLOGY APPLIED MICROBIOLOGY; PHARMACOLOGY PHARMACY; CHEMISTRY APPLIED; IMAGING SCIENCE PHOTOGRAPHIC TECHNOLOGY; POLYMER SCIENCE	DIIDW:2024594738		
P	DENG H; JIANG X; XU Y; XU F; SONG J; ZHOU L								Detecting metal impurity particles of lithium            battery material, involves absorbing and collecting            metal particles at bottom of beaker, extracting metal            particles, mounting filter paper in filter bottle of            filter device, adding carboxymethylcellulose glue            solution																																		0							ENERGY FUELS; POLYMER SCIENCE; ENGINEERING ELECTRICAL ELECTRONIC; ELECTROCHEMISTRY; CHEMISTRY APPLIED; MATERIALS SCIENCE MULTIDISCIPLINARY; IMAGING SCIENCE PHOTOGRAPHIC TECHNOLOGY; INSTRUMENTS INSTRUMENTATION	DIIDW:202448314M		
P	LIU W; LI S; HU C; WANG J; BU Q; SONG P								Method for tracing source of metal foreign matter,            involves finding photos with abnormal comparison, and            comparing abnormal contrast photos with standard photos            of source of foreign matter in monitoring area																																		0							COMPUTER SCIENCE HARDWARE ARCHITECTURE; ENGINEERING ELECTRICAL ELECTRONIC; INSTRUMENTS INSTRUMENTATION	DIIDW:2024348900		
P	HISATO H; HAGA H								Photochromic particle aqueous dispersion used in            baby products, toys, plastic lens products such as            contact lenses, nursing care products, comprises            (meth)acrylic acid ester monomer and photochromic            material which are dispersed in water																																		0							INSTRUMENTS INSTRUMENTATION; ENGINEERING MULTIDISCIPLINARY; POLYMER SCIENCE; ENGINEERING ELECTRICAL ELECTRONIC; IMAGING SCIENCE PHOTOGRAPHIC TECHNOLOGY; CHEMISTRY APPLIED	DIIDW:2024263757		
P	MAI G; SUN C; JIANG W; HUANG Y; DENG Z								Printing packaging bag for packaging various            articles, has soft plastic plate whose lower end            surface is fixedly provided with soft cushion, where            lower end face of soft cushion is provided with            wearable layer																																		0							POLYMER SCIENCE; ENGINEERING MECHANICAL; INSTRUMENTS INSTRUMENTATION	DIIDW:2024281232		
P	SINGHAL S; MANSUKHANI K B								Multilayer product for securing data by removable            mask, has constituent layers for determining data            encoded in form of first graphical data pattern, where            layers include mask in form of second pattern, which            not fully covers data pattern, and covers intermittent            portion areas of data pattern																																		0							COMPUTER SCIENCE HARDWARE ARCHITECTURE; ELECTROCHEMISTRY; POLYMER SCIENCE; ENGINEERING ELECTRICAL ELECTRONIC	DIIDW:202425970H		
P	MOHAN R; RAMESH B; VELUMANI A; REDDY D S								Intelligent tamper-evident cap for use in            container for containing two separate products such as            packaged food and beverages, in food packaging            industry, has cap body equipped with sensors and alarms            to monitor condition of packaged contents																																		0							ENGINEERING ELECTRICAL ELECTRONIC; INSTRUMENTS INSTRUMENTATION; ENGINEERING MECHANICAL; FOOD SCIENCE TECHNOLOGY; ENGINEERING MULTIDISCIPLINARY; COMPUTER SCIENCE HARDWARE ARCHITECTURE; CHEMISTRY APPLIED	DIIDW:202425903E		
P	LAI X; WANG J								Traceability terminal machine of batching system,            has air spraying whistle whose outer surface close to            material supporting plate is fixedly connected with mop            bottom plate																																		0							POLYMER SCIENCE; INSTRUMENTS INSTRUMENTATION; ENGINEERING ELECTRICAL ELECTRONIC; ENGINEERING MECHANICAL; IMAGING SCIENCE PHOTOGRAPHIC TECHNOLOGY	DIIDW:202406141B		
P	LI Y; WANG G; ZHU Y; TANG J; HUANG Y								Method for tracing user in core network field by            using electronic device, involves performing log            configuration on user information, private address and            public address of network user through user plane            device, and performing user plastic source on network            user through traceability log record																																		1							ENGINEERING ELECTRICAL ELECTRONIC; ELECTROCHEMISTRY; POLYMER SCIENCE; COMPUTER SCIENCE HARDWARE ARCHITECTURE; TELECOMMUNICATIONS	DIIDW:202406581X		
P	ZHOU N; LI H; DAI S; ZHUANG Z; LIN X								Trademark manufacturing method for bathroom            product, involves providing trademark area on surface            of product, and associating graphic code of product            surface with graphic code in label affixed to outer            package of product																																		0							ENGINEERING ELECTRICAL ELECTRONIC; INSTRUMENTS INSTRUMENTATION; COMPUTER SCIENCE HARDWARE ARCHITECTURE	DIIDW:202402212M		
P	HUANG Y; SUN J; FENG B								Method for performing carbon emission tracking of            regenerated plastic product applied to carbon emission            tracking system, involves generating carbon emission            grid link map and carbon emission report based on            carbon emission data and carbon emission calculation            data																																		1							ENGINEERING ELECTRICAL ELECTRONIC; ELECTROCHEMISTRY; COMPUTER SCIENCE HARDWARE ARCHITECTURE; POLYMER SCIENCE	DIIDW:2023D4181A		
P	LOWE C; BUTANI V								Specimen container system for maintaining specimen            traceability using radio frequency identification tags,            has enclosure base with RFID tag, lid that covers base,            and airtight plastic box for transport and            storage																																		0							INSTRUMENTS INSTRUMENTATION; ENGINEERING ELECTRICAL ELECTRONIC; ELECTROCHEMISTRY; POLYMER SCIENCE; TELECOMMUNICATIONS; COMPUTER SCIENCE HARDWARE ARCHITECTURE	DIIDW:2023C10706		
P	WANG X; LI D; WANG J; LIU X; ZHENG Z; GAO X; XIE T								Indicator traceability flow chart connection            method used in new energy industry, involves pointing            output point to corresponding input point, forming            turning line to form one-to-one connection between            origin and source through combination of horizontal            lines and vertical lines																																		0							ENGINEERING ELECTRICAL ELECTRONIC; COMPUTER SCIENCE HARDWARE ARCHITECTURE	DIIDW:2023C3286F		
P	MIYAMOTO T; NISHIMURA K; TAKESHI N; TOMOYUKI M; NISHIMURA T								Traceability system for use in distribution            process of classified object e.g. grain raw material,            has determination unit that gives warning or            instruction of feedback to operator before operator            when third estimation unit estimates that object            divided to outside of reference is originated from            plant																																		0							ENGINEERING ELECTRICAL ELECTRONIC; INSTRUMENTS INSTRUMENTATION; CHEMISTRY APPLIED; IMAGING SCIENCE PHOTOGRAPHIC TECHNOLOGY; POLYMER SCIENCE; FOOD SCIENCE TECHNOLOGY	DIIDW:2023C4575K		
P	LOW H Y; ABDUL RANI B H; LIM W A J; WAHID M H F; LOH A Y; JASON L W A; ABDUL R B H; LIM W; LIU H; HISHAM A B; JASON L W E; ROAIYUN; LOWWHEEIN; FAUZI W M H W								Semiconductor package has package surface            comprising surface of plastic molding and metallic            area, where metallic area comprises product marking            comprising alphanumeric character and surface of            molding comprises another product marking																																		0							ENGINEERING ELECTRICAL ELECTRONIC; INSTRUMENTS INSTRUMENTATION	DIIDW:2023B25138		
P	GROSFILLEY E								Device for traceability of e.g. hardwood logs in            woodworking industry for tracing route of logs from            plot in forest to sawmill, has attachment parts            arranged integral with shell and formed of material            having mechanical resistance																																		1							ENGINEERING ELECTRICAL ELECTRONIC; POLYMER SCIENCE; ELECTROCHEMISTRY; COMPUTER SCIENCE HARDWARE ARCHITECTURE	DIIDW:2023A5769D		
P	KAMPS T; CRAMER A; KRAMMER A; CAMPS T								Method for marking products e.g. tray or rack for            holding pipette tips or vessels made of plastic for            laboratory use, involves utilizing dark-colored            contrasting area and light-colored inscription using            laser beams, in plastic of product, and producing            dark-colored inscriptions using laser beams																																		1							POLYMER SCIENCE; ENGINEERING MULTIDISCIPLINARY; IMAGING SCIENCE PHOTOGRAPHIC TECHNOLOGY; CHEMISTRY APPLIED; INSTRUMENTS INSTRUMENTATION; ENGINEERING CHEMICAL; BIOTECHNOLOGY APPLIED MICROBIOLOGY	DIIDW:202378538F		
P	DONG Y; LI J								Recyclable hard PVC floor comprises mute layer,            substrate layer, color film layer, wear-resistant            layer, primer layer, and topcoat layer																																		0							INSTRUMENTS INSTRUMENTATION; POLYMER SCIENCE; ENGINEERING ELECTRICAL ELECTRONIC; ENGINEERING MULTIDISCIPLINARY; CONSTRUCTION BUILDING TECHNOLOGY; ENGINEERING MECHANICAL	DIIDW:202379408B		
P	ZHAO J; CHEN R; ZHAO Y; ZHOU X; WANG Z; SONG L; FENG H; XU D; WANG H; ZHANG Y; LIN S								Method for identifying tobacco leaf sundries,            involves constructing YOLO V3 sundries recognition            model, and taking tobacco leaf image and sundries image            as training sample to input into YLO V 3 sundries            classification model for training																																		1							ENGINEERING ELECTRICAL ELECTRONIC; COMPUTER SCIENCE HARDWARE ARCHITECTURE; POLYMER SCIENCE; ELECTROCHEMISTRY	DIIDW:202377105Y		
P	LI B; ZENG M; CHEN Z; ZHENG S								Nitrogen filling packaging machine for packaging            plastic composite film and plastic aluminum foil            composite film, has motor that is fixedly connected            with screw thread rod through top portion shaft																																		0							INSTRUMENTS INSTRUMENTATION; ENGINEERING MECHANICAL; POLYMER SCIENCE	DIIDW:202372082B		
P	HE X; LIU Y; LONG B; DONG L; NIU Y; LV H; CHEN L								Regenerated plastic anti-fake tracing code            generating device, has microprocessor for printing            public key code, summary information and digital            signature code to printing module on regenerated            plastic																																		1							ELECTROCHEMISTRY; ENGINEERING ELECTRICAL ELECTRONIC; COMPUTER SCIENCE HARDWARE ARCHITECTURE; POLYMER SCIENCE	DIIDW:202368781F		
P	IYIDEN Y E; SEYRANLI Y								Unit for producing and assembling plastic            component, has second robotic arm that is associated            with working in coordination with first robotic arm to            ensure association of insulation element and bracket to            semi-finished product on assembly fixture																																		0							POLYMER SCIENCE; INSTRUMENTS INSTRUMENTATION; ENGINEERING ELECTRICAL ELECTRONIC	DIIDW:202516523A		
P	LI L								Agricultural product traceability packaging box,            has honeycomb paperboard whose upper plate surface far            away from foam plate is bonded with inner box wall of            source-tracing packaging box main body through            connecting paper arm																																		0							INSTRUMENTS INSTRUMENTATION; ENGINEERING MECHANICAL; POLYMER SCIENCE	DIIDW:2023744239		
P	JIN S; LUO J; ZHANG Y; XU S								System for control plastic tableware manufacturing            process based on internet of things technology for            tracking of product manufacturing process, has workshop            timely and timely to rotate product to set            corresponding process in time under assistance of            device																																		0							CHEMISTRY APPLIED; POLYMER SCIENCE; ENGINEERING ELECTRICAL ELECTRONIC; MATERIALS SCIENCE MULTIDISCIPLINARY; METALLURGY METALLURGICAL ENGINEERING; COMPUTER SCIENCE HARDWARE ARCHITECTURE; INSTRUMENTS INSTRUMENTATION; AUTOMATION CONTROL SYSTEMS	DIIDW:202363735C		
P	CAI Y; XIA L; ZHANG T								Industrial department micro-plastic discharging            tracing method, involves combining life cycle analysis            (LCA) and environmental protection deddinput-output            (EEIO) model to obtain characteristic of industrial            department in social economic system																																		0							COMPUTER SCIENCE HARDWARE ARCHITECTURE; ENGINEERING ELECTRICAL ELECTRONIC; POLYMER SCIENCE; ELECTROCHEMISTRY	DIIDW:202352894P		
P	MAO X; GUO L; CHEN Y; FANG M; ZHOU Y; HE W; CHEN G; ZHOU Y F; CHEN Y H; CHEN G H								Marine plastic garbage electronic bill management            system, comprises marine garbage transportation end for            receiving control instruction of cloud management            platform and transporting marine garbage of marine            garbage collection end to transfer end																																		6							POLYMER SCIENCE; ENGINEERING ELECTRICAL ELECTRONIC; ELECTROCHEMISTRY; COMPUTER SCIENCE HARDWARE ARCHITECTURE	DIIDW:202345427L		
P	RICKES H								Hot stamping machine for use with Retrofit kit,            for stamping e.g. barcode, on plastic component during            thermal printing process, has unwinding device and            winding device assigned on same side of hot embossing            die, and thermal printer connected to computer device            and arranged on hot embossing die																																		0							INSTRUMENTS INSTRUMENTATION; POLYMER SCIENCE; ENGINEERING MULTIDISCIPLINARY	DIIDW:202338772M		
P	CHENG Y								Biological laboratory specimen plastic source            management system comprises sample cabinet, storage box            opening groove, sample storage box, management control            cabinet, and bearing foot pad																																		0							INSTRUMENTS INSTRUMENTATION; POLYMER SCIENCE	DIIDW:202340211W		
P	LING S; LING M; SHI Z; SONG H; ZHANG Z; LIU X; WANG L								Connecting shaft assembling type large gear            involute template for calibrating involute measuring            instruments, has mandrel flat groove provided with            densely doped inner hole whose axial axis is orthogonal            to axial line of mandrel																																		0							POLYMER SCIENCE; ENGINEERING ELECTRICAL ELECTRONIC; IMAGING SCIENCE PHOTOGRAPHIC TECHNOLOGY; INSTRUMENTS INSTRUMENTATION	DIIDW:2023381481		
P	LIU C; YUAN Z; ZHANG X; CAO G; LIU Z; SONG D								Method for managing mold software for            plastic-steel profile device, involves establishing            device spare portions procurement and requisition plans            to obtain recommended procurement quantity for next            month																																		0							ENGINEERING ELECTRICAL ELECTRONIC; TELECOMMUNICATIONS; COMPUTER SCIENCE HARDWARE ARCHITECTURE; AUTOMATION CONTROL SYSTEMS; INSTRUMENTS INSTRUMENTATION	DIIDW:2023365848		
P	HU Z; TANG X; JIANG W; SHA X; TU Z								Identifying carp fish gelatin involves            establishing theoretical characteristic peptide            database of carps gelatin, pre-treating carp scales,            using hydrogen chloride solution to decalcify fish            scales, performing enzymatic hydrolysis of carp fish            scale gelatin by dissolving gelatin sample in SDT            buffer																																		0							AGRICULTURE MULTIDISCIPLINARY; ENGINEERING ELECTRICAL ELECTRONIC; PHARMACOLOGY PHARMACY; CHEMISTRY APPLIED; BIOTECHNOLOGY APPLIED MICROBIOLOGY; POLYMER SCIENCE; IMAGING SCIENCE PHOTOGRAPHIC TECHNOLOGY; INSTRUMENTS INSTRUMENTATION	DIIDW:2023266142		
P	QIU Y; QIU Z								Waste classification processing method involves            using throwing pavilion for spraying fragrance by using            deodorizing and sterilizing device after cell tenement            is poured out, and timely spraying fragrance for            avoiding unpleasant smell in vicinity of throwing            pavilion																																		0							ENGINEERING MECHANICAL; INSTRUMENTS INSTRUMENTATION	DIIDW:202319182H		
P	LI X; HUA Y; LIAO J; XIAO K; NIRAV S R; LIANG W; ZHANG X								Method for unsealing and analyzing failure root            factor traceability of chip crack, involves determining            whether crack of chip is already present before forming            solder layer according to expansion condition																																		0							POLYMER SCIENCE; IMAGING SCIENCE PHOTOGRAPHIC TECHNOLOGY; ENGINEERING ELECTRICAL ELECTRONIC; INSTRUMENTS INSTRUMENTATION	DIIDW:202316252R		
P	ZHOU C; CHENG Y; CHEN K; ZHOU Y; MA T; WANG H								Circulating storage box for serving traceable            system, has two pairs of adjusting blocks on adjacent            two groups of sliding rods that are matched to form            limiting space of plastic suction box																																		0							POLYMER SCIENCE; INSTRUMENTS INSTRUMENTATION; ENGINEERING MECHANICAL	DIIDW:202316650E		
P	DAGNINO REMIS J								Recyclable packaging box identifier has reusable            and recyclable packaging polypropylene box formed by            preform which is armed with gripping unit, and            information unit that is inserted to track packing box,            in preform																																		0							POLYMER SCIENCE; INSTRUMENTS INSTRUMENTATION; ENGINEERING MECHANICAL	DIIDW:2024185070		
P	BEIL D; TEBIB E; GOCKEL F								Device for controlling flow of cryogenic medium            e.g. liquid nitrogen, has fitting that is constructed            from functional elements that interact with one another            and are designed as plastic element made of plastic            mixed with metallic additives																																		2							ENGINEERING MECHANICAL; INSTRUMENTS INSTRUMENTATION; POLYMER SCIENCE; ENGINEERING CHEMICAL; CHEMISTRY APPLIED	DIIDW:2022F7670C		
P	HUANG G; LING R; LI Z; LI L; WU C; MING G								Packaging device for integrally forming woven bag            and paper plastic bag, has transverse and longitudinal            sealing systems for wrapping woven bag of strip            bag-shaped semi-finished product, where paper-plastic            bag raw material is sealed																																		0							INSTRUMENTS INSTRUMENTATION; MATERIALS SCIENCE TEXTILES; ENGINEERING MECHANICAL; POLYMER SCIENCE	DIIDW:2022F4189F		
P	ZHUANG R								Anti-fake continuous rolling safety bone bag i.e.            plastic bag, for use in e.g. supermarket, has bag body            connected with easy-tearing dotted line, where bottom            of bag body is embedded with hidden cursor and is            provided with opening																																		0							ENGINEERING MECHANICAL; POLYMER SCIENCE; INSTRUMENTS INSTRUMENTATION	DIIDW:2022E74130		
P	WANG X; BAO T; SONG J								Method for managing production of plastic lens            product, involves auditing quality of distributor, and            recording lens production process information,            production lens warehousing information and lens            delivery information																																		0							POLYMER SCIENCE; COMPUTER SCIENCE HARDWARE ARCHITECTURE; ENGINEERING ELECTRICAL ELECTRONIC; ELECTROCHEMISTRY	DIIDW:2022D98249		
